storenum,nickname,address1,address2,address3,city,country,email1,email2,fax1,fax2,zone,field2,field3,phone1,phone2,state,zipcode,firstname,lastname,middlename,latitude,longitude,active,monopen,monclose,tueopen,tueclose,wedopen,wedclose,thuopen,thuclose,friopen,friclose,satopen,satclose,sunopen,sunclose
"1443","TSC_STORE_1443","940 HWY 13 SOUTH","","","COLUMBIA","US","","","","","23","Y","","601-444-4420","","MS","39429","","","","31.23428","-89.823143","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1974","TSC_STORE_1974","201 HWY 19 SOUTH","","","AMERICUS","US","","","","","22","Y","","229-928-3400","","GA","31719","","","","32.064213","-84.251434","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"452","TSC_STORE_0452","1200 SOUTH LOOP 288","","","DENTON","US","","","","","13","Y","","940-387-5600","","TX","76205","","","","33.198208","-97.092606","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"382","TSC_STORE_0382","301 EAST HWY 243 STE 145","","","CANTON","US","","","","","13","Y","","903-567-4033","","TX","75103-2423","","","","32.543678","-95.859589","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1677","TSC_STORE_1677","1030 WEST NEW BERN RD STE G","","","KINSTON","US","","","","","22","Y","","252-208-0146","","NC","28504-4806","","","","35.252296","-77.601936","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1266","TSC_STORE_1266","465 OAK RIDGE TPKE","","","OAK RIDGE","US","","","","","53","Y","","865-425-7518","","TN","37830","","","","36.036892","-84.221558","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"796","TSC_STORE_0796","2000 EAST CHEROKEE AVE STE S","","","SALLISAW","US","","","","","13","Y","","918-774-0668","","OK","74955","","","","35.456562","-94.769058","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2339","TSC_STORE_2339","404 HWY 52 W","","","PORTLAND","US","","","","","53","Y","","615-323-7277","","TN","37148","","","","36.576801","-86.523193","0","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1785","TSC_STORE_1785","480 NORTH MILL ST","","","TEHACHAPI","US","","","","","08","Y","","661-823-1687","","CA","93561-1303","","","","35.137653","-118.450447","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1473","TSC_STORE_1473","7686 HWY 1","","","MANSURA","US","","","","","02","Y","","318-240-8338","","LA","71350","","","","31.083309","-92.056602","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1721","TSC_STORE_1721","13631 GARRETT HWY","","","OAKLAND","US","","","","","72","Y","","301-334-3463","","MD","21550-4010","","","","39.431332","-79.386574","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"752","TSC_STORE_0752","7450 HAMILTON BLVD","","","TREXLERTOWN","US","","","","","72","Y","","610-366-9461","","PA","18087","","","","40.54911","-75.601639","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1813","TSC_STORE_1813","506 WESTVIEW LN","","","STANLEY","US","","","","","82","Y","","701-628-4890","","ND","58784","","","","48.306629","-102.398567","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","12:00 PM","7:00 PM"
"1684","TSC_STORE_1684","2320 HWY 43 SOUTH","","","PICAYUNE","US","","","","","02","Y","","601-798-1263","","MS","39466","","","","30.518118","-89.650978","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"160","TSC_STORE_0160","5210 MORGAN AVE","","","EVANSVILLE","US","","","","","51","Y","","812-477-6497","","IN","47715","","","","37.993023","-87.487335","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"353","TSC_STORE_0353","1460 SOUTH US 31","","","GREENWOOD","US","","","","","71","Y","","317-882-5800","","IN","46143","","","","39.595695","-86.104897","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1552","TSC_STORE_1552","800 CENTRAL ST","","","MILLINOCKET","US","","","","","62","Y","","207-723-6582","","ME","04462-2126","","","","45.656422","-68.690063","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"436","TSC_STORE_0436","1626 SOUTH JACKSON STE 128","","","JACKSONVILLE","US","","","","","11","Y","","903-586-6343","","TX","75766","","","","31.948669","-95.259727","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"124","TSC_STORE_0124","1000A NORTH ST AUGUSTINE RD","","","VALDOSTA","US","","","","","02","Y","","229-245-1084","","GA","31601","","","","30.83765","-83.31868","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"239","TSC_STORE_0239","2323 LINCOLNWAY EAST","","","GOSHEN","US","","","","","73","Y","","574-533-3703","","IN","46526","","","","41.554562","-85.789116","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1845","TSC_STORE_1845","5450 MOUNT ZION RD","","","FREDERICK","US","","","","","52","Y","","301-473-5751","","MD","21703-6979","","","","39.380505","-77.477974","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1780","TSC_STORE_1780","155 SAN ANTONIO AVE STE A","","","MANY","US","","","","","14","Y","","318-590-9025","","LA","71449-3008","","","","31.566618","-93.492149","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"530","TSC_STORE_0530","921 RIVER RD","","","CHARLOTTESVILLE","US","","","","","53","Y","","434-984-2190","","VA","22901","","","","38.035961","-78.45919","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"710","TSC_STORE_0710","5370 ALLENTOWN PIKE STE A","","","TEMPLE","US","","","","","72","Y","","610-929-2134","","PA","19560","","","","40.41552","-75.922615","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1471","TSC_STORE_1471","87 QUAKER ST STE 5","","","GRANVILLE","US","","","","","63","Y","","518-642-2016","","NY","12832","","","","43.398151","-73.266769","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2136","TSC_STORE_2136","24930 SOUTH ELLSWORTH RD","","","QUEEN CREEK","US","","","","","42","Y","","480-888-9559","","AZ","85142-7474","","","","33.222385","-111.636009","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"517","TSC_STORE_0517","2030 SOUTH TELEPHONE RD","","","MOORE","US","","","","","11","Y","","405-912-2666","","OK","73160","","","","35.317513","-97.493713","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2230","TSC_STORE_2230","110 INDUSTRIAL DR","","","WAYNESBORO","US","","","","","52","Y","","931-722-5670","","TN","38485-2433","","","","35.326801","-87.760719","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1823","TSC_STORE_1823","1323 EAST MAIN ST","","","ROGERSVILLE","US","","","","","52","Y","","423-272-4613","","TN","37857","","","","36.414959","-82.989777","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1818","TSC_STORE_1818","1424 WEST MAIN ST EXT STE 1","","","GROVE CITY","US","","","","","72","Y","","724-458-0224","","PA","16127","","","","41.166832","-80.107849","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1351","TSC_STORE_1351","12512 HWY 190","","","HAMMOND","US","","","","","02","Y","","985-340-2888","","LA","70401","","","","30.503685","-90.517212","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1610","TSC_STORE_1610","1556 MILL SQ","","","ALEXANDER CITY","US","","","","","22","Y","","256-329-9536","","AL","35010-2674","","","","32.935616","-85.970825","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1352","TSC_STORE_1352","17856 STATE RTE 706","","","MONTROSE","US","","","","","72","Y","","570-278-7466","","PA","18801","","","","41.837124","-75.832085","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"307","TSC_STORE_0307","1400 EAST TYLER ST","","","ATHENS","US","","","","","13","Y","","903-677-1809","","TX","75751","","","","32.210796","-95.829208","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"339","TSC_STORE_0339","857 SOUTH ROCHESTER ST STE 500","","","MUKWONAGO","US","","","","","71","Y","","262-363-8868","","WI","53149","","","","42.853786","-88.326721","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2254","TSC_STORE_2254","599 RTE 9","","","WARETOWN","US","","","","","73","Y","","609-693-3030","","NJ","08758","","","","39.807907","-74.199753","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"480","TSC_STORE_0480","1407 INTERSTATE 45 NORTH","","","CONROE","US","","","","","13","Y","","936-756-3831","","TX","77304","","","","30.31921","-95.473915","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2309","TSC_STORE_2309","2208 WEST CANNON ST","","","PECOS","US","","","","","41","Y","","432-445-1306","","TX","79772","","","","31.396187","-103.516823","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1298","TSC_STORE_1298","2003 PRIEST DR","","","LAGRANGE","US","","","","","53","Y","","502-222-0176","","KY","40031","","","","38.390663","-85.366127","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1269","TSC_STORE_1269","1949 EAST PROSPERITY AVE","","","TULARE","US","","","","","08","Y","","559-688-1334","","CA","93274","","","","36.225388","-119.317528","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1789","TSC_STORE_1789","3000 VAN HORN RD","","","TRENTON","US","","","","","71","Y","","734-675-1398","","MI","48183-4001","","","","42.126862","-83.203117","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2221","TSC_STORE_2221","1100 STATE ROAD 1","","","SOCORRO","US","","","","","42","Y","","575-838-0000","","NM","87801-5125","","","","34.043022","-106.892464","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"178","TSC_STORE_0178","218 HARTMAN BRIDGE RD","","","RONKS","US","","","","","73","Y","","717-687-7642","","PA","17572-9791","","","","40.002308","-76.18586","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"746","TSC_STORE_0746","88 BEDFORD SQ","","","EVERETT","US","","","","","72","Y","","814-623-7153","","PA","15537","","","","40.025356","-78.445595","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2315","TSC_STORE_2315","11605 ROUTE 32","","","GREENVILLE","US","","","","","62","Y","","518-966-5559","","NY","12083","","","","42.430359","-74.0187","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"352","TSC_STORE_0352","4166 BURBANK RD","","","WOOSTER","US","","","","","71","Y","","330-345-7702","","OH","44691","","","","40.849724","-81.949059","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1239","TSC_STORE_1239","10011 MAIN ST","","","ZACHARY","US","","","","","02","Y","","225-658-5881","","LA","70791","","","","30.649174","-91.101219","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2029","TSC_STORE_2029","15615 PACIFIC AVE SOUTH","","","TACOMA","US","","","","","91","Y","","253-536-6336","","WA","98444-4665","","","","47.115273","-122.433289","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"618","TSC_STORE_0618","1540 NORTH MORTON ST","","","FRANKLIN","US","","","","","71","Y","","317-346-0015","","IN","46131","","","","39.492252","-86.066238","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1999","TSC_STORE_1999","125 WESTERN TRL","","","JACKSBORO","US","","","","","14","Y","","940-567-2785","","TX","76458","","","","33.23103","-98.164406","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1488","TSC_STORE_1488","330 EAST IRELAND RD","","","MISHAWAKA","US","","","","","71","Y","","574-257-0753","","IN","46544","","","","41.630203","-86.178406","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1933","TSC_STORE_1933","2808 WEST TOWNE ST","","","GLENDIVE","US","","","","","81","Y","","406-365-9665","","MT","59330-9595","","","","47.091625","-104.772438","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"776","TSC_STORE_0776","1516 SUNSET AVE","","","CLINTON","US","","","","","23","Y","","910-592-3344","","NC","28328","","","","34.992722","-78.354431","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1520","TSC_STORE_1520","3403 SOUTHEAST WASHINGTON BLVD","","","BARTLESVILLE","US","","","","","11","Y","","918-331-0367","","OK","74006","","","","36.698486","-95.936043","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2226","TSC_STORE_2226","56418 POKAGON ST","","","DOWAGIAC","US","","","","","71","Y","","269-782-9920","","MI","49047-7721","","","","41.978119","-86.135139","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1876","TSC_STORE_1876","1352 MICHIGAN AVE","","","BENZONIA","US","","","","","72","Y","","231-882-7705","","MI","49616","","","","44.612404","-86.09935","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"155","TSC_STORE_0155","12101 WINCHESTER RD SOUTHWEST STE 2B","","","LAVALE","US","","","","","52","Y","","301-729-8525","","MD","21502","","","","39.631363","-78.839088","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1190","TSC_STORE_1190","1800 HWY 90 EAST","","","CASTROVILLE","US","","","","","41","Y","","830-538-9398","","TX","78009","","","","29.354242","-98.84687","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2284","TSC_STORE_2284","1526 NORTH MAIN ST","","","RUSHVILLE","US","","","","","73","Y","","765-932-2229","","IN","46173-1119","","","","39.624146","-85.443405","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"158","TSC_STORE_0158","2605 RED WOLF BLVD","","","JONESBORO","US","","","","","11","Y","","870-935-4601","","AR","72401-7423","","","","35.813335","-90.669899","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1699","TSC_STORE_1699","10 COMPREHENSIVE DR","","","HARLAN","US","","","","","52","Y","","606-573-2650","","KY","40831","","","","36.807934","-83.311295","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2212","TSC_STORE_2212","116 SOUTH MAIN ST","","","NEWTOWN","US","","","","","62","Y","","203-270-1197","","CT","06470-2323","","","","41.389568","-73.289284","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1394","TSC_STORE_1394","7625 LAKE RAYSTOWN SHOP CTR","","","HUNTINGDON","US","","","","","73","Y","","814-643-2902","","PA","16652","","","","40.4795","-78.011559","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1922","TSC_STORE_1922","42 CARMEN PL","","","RUCKERSVILLE","US","","","","","53","Y","","434-985-2162","","VA","22968-4113","","","","38.233707","-78.383949","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1236","TSC_STORE_1236","2501 NORTH HWY 64","","","GUYMON","US","","","","","13","Y","","580-338-7170","","OK","73942","","","","36.704941","-101.483444","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"465","TSC_STORE_0465","203 HWY 332 WEST","","","LAKE JACKSON","US","","","","","13","Y","","979-297-7226","","TX","77566","","","","29.047056","-95.465416","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"626","TSC_STORE_0626","235 KENTUCKY HOME SQ","","","BARDSTOWN","US","","","","","53","Y","","502-349-7327","","KY","40004","","","","37.825222","-85.465691","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1697","TSC_STORE_1697","201 SPUR 5","","","WINNIE","US","","","","","13","Y","","409-296-2077","","TX","77665","","","","29.828991","-94.385262","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1564","TSC_STORE_1564","4765 NORTH HWY 17","","","AWENDAW","US","","","","","22","Y","","843-881-0899","","SC","29429","","","","32.924374","-79.713867","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1795","TSC_STORE_1795","1000 RIVER RANCH","","","FORTUNA","US","","","","","08","Y","","707-726-7864","","CA","95540","","","","40.583641","-124.155373","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"308","TSC_STORE_0308","324 SOUTHWEST WILSHIRE","","","BURLESON","US","","","","","11","Y","","817-295-0429","","TX","76028","","","","32.54108","-97.332153","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1716","TSC_STORE_1716","1606 EAST MAIN ST","","","MADISONVILLE","US","","","","","13","Y","","936-348-2879","","TX","77864-2208","","","","30.955956","-95.896072","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"432","TSC_STORE_0432","1504 SOUTHWEST 27TH ST","","","EL RENO","US","","","","","13","Y","","405-262-2037","","OK","73036","","","","35.508652","-97.970016","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2048","TSC_STORE_2048","190 SOUTH CRESTVIEW DR","","","SEAGOVILLE","US","","","","","14","Y","","972-287-4949","","TX","75159","","","","32.64846","-96.53019","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2192","TSC_STORE_2192","2152 HIGHWAY 70","","","DONALDSONVILLE","US","","","","","02","Y","","225-474-2422","","LA","70346-8860","","","","30.091967","-90.9375","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2184","TSC_STORE_2184","1673 WEST C 48","","","BUSHNELL","US","","","","","02","Y","","352-568-2208","","FL","33513","","","","28.667345","-82.132858","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
